name,number,status
PEP 314 – Metadata for Python Software Packages 1.1,314,Superseded
PEP 315 – Enhanced While Loop,315,Rejected
PEP 313 – Adding Roman Numeral Literals to Python,313,Rejected
PEP 312 – Simple Implicit Lambda,312,Deferred
PEP 311 – Simplified Global Interpreter Lock Acquisition for Extensions,311,Final
PEP 310 – Reliable Acquisition/Release Pairs,310,Rejected
PEP 309 – Partial Function Application,309,Final
PEP 308 – Conditional Expressions,308,Final
PEP 307 – Extensions to the pickle protocol,307,Final
PEP 306 – How to Change Python’s Grammar,306,Withdrawn
PEP 305 – CSV File API,305,Final
PEP 304 – Controlling Generation of Bytecode Files,304,Withdrawn
PEP 303 – Extend divmod() for Multiple Divisors,303,Rejected
PEP 301 – Package Index and Metadata for Distutils,301,Final
PEP 302 – New Import Hooks,302,Final
PEP 299 – Special __main__() function in modules,299,Rejected
PEP 298 – The Locked Buffer Interface,298,Withdrawn
PEP 296 – Adding a bytes Object Type,296,Withdrawn
PEP 297 – Support for System Upgrades,297,Rejected
PEP 295 – Interpretation of multiline string constants,295,Rejected
PEP 294 – Type Names in the types Module,294,Rejected
PEP 292 – Simpler String Substitutions,292,Final
PEP 293 – Codec Error Handling Callbacks,293,Final
PEP 291 – Backward Compatibility for the Python 2 Standard Library,291,Final
PEP 290 – Code Migration and Modernization,290,Active
PEP 289 – Generator Expressions,289,Final
PEP 288 – Generators Attributes and Exceptions,288,Withdrawn
PEP 287 – reStructuredText Docstring Format,287,Active
PEP 286 – Enhanced Argument Tuples,286,Deferred
PEP 285 – Adding a bool type,285,Final
PEP 284 – Integer for-loops,284,Rejected
PEP 283 – Python 2.3 Release Schedule,283,Final
PEP 282 – A Logging System,282,Final
PEP 281 – Loop Counter Iteration with range and xrange,281,Rejected
PEP 280 – Optimizing access to globals,280,Deferred
PEP 279 – The enumerate() built-in function,279,Final
PEP 278 – Universal Newline Support,278,Final
PEP 277 – Unicode file name support for Windows NT,277,Final
PEP 276 – Simple Iterator for ints,276,Rejected
PEP 274 – Dict Comprehensions,274,Final
PEP 275 – Switching on Multiple Values,275,Rejected
PEP 273 – Import Modules from Zip Archives,273,Final
PEP 272 – API for Block Encryption Algorithms v1.0,272,Final
PEP 270 – uniq method for list objects,270,Rejected
PEP 271 – Prefixing sys.path by command line option,271,Rejected
PEP 269 – Pgen Module for Python,269,Deferred
PEP 268 – Extended HTTP functionality and WebDAV,268,Rejected
PEP 267 – Optimized Access to Module Namespaces,267,Deferred
PEP 266 – Optimizing Global Variable/Attribute Access,266,Withdrawn
PEP 265 – Sorting Dictionaries by Value,265,Rejected
PEP 264 – Future statements in simulated shells,264,Final
PEP 257 – Docstring Conventions,257,Active
PEP 263 – Defining Python Source Code Encodings,263,Final
PEP 262 – A Database of Installed Python Packages,262,Rejected
PEP 261 – Support for “wide” Unicode characters,261,Final
PEP 259 – Omit printing newline after newline,259,Rejected
PEP 260 – Simplify xrange(),260,Final
PEP 258 – Docutils Design Specification,258,Rejected
PEP 256 – Docstring Processing System Framework,256,Rejected
PEP 254 – Making Classes Look More Like Types,254,Rejected
PEP 255 – Simple Generators,255,Final
PEP 253 – Subtyping Built-in Types,253,Final
PEP 251 – Python 2.2 Release Schedule,251,Final
PEP 252 – Making Types Look More Like Classes,252,Final
PEP 250 – Using site-packages on Windows,250,Final
PEP 248 – Python Database API Specification v1.0,248,Final
PEP 249 – Python Database API Specification v2.0,249,Final
PEP 245 – Python Interface Syntax,245,Rejected
PEP 246 – Object Adaptation,246,Rejected
PEP 247 – API for Cryptographic Hash Functions,247,Final
PEP 244 – The ,244,Rejected
PEP 243 – Module Repository Upload Mechanism,243,Withdrawn
PEP 242 – Numeric Kinds,242,Rejected
PEP 241 – Metadata for Python Software Packages,241,Superseded
PEP 240 – Adding a Rational Literal to Python,240,Rejected
PEP 239 – Adding a Rational Type to Python,239,Rejected
PEP 238 – Changing the Division Operator,238,Final
PEP 237 – Unifying Long Integers and Integers,237,Final
PEP 236 – Back to the __future__,236,Final
PEP 235 – Import on Case-Insensitive Platforms,235,Final
PEP 234 – Iterators,234,Final
PEP 233 – Python Online Help,233,Deferred
PEP 232 – Function Attributes,232,Final
PEP 231 – __findattr__(),231,Rejected
PEP 230 – Warning Framework,230,Final
PEP 229 – Using Distutils to Build Python,229,Final
PEP 228 – Reworking Python’s Numeric Model,228,Withdrawn
PEP 212 – Loop Counter Iteration,212,Rejected
PEP 211 – Adding A New Outer Product Operator,211,Rejected
PEP 210 – Decoupling the Interpreter Loop,210,Rejected
PEP 209 – Multi-dimensional Arrays,209,Withdrawn
PEP 208 – Reworking the Coercion Model,208,Final
PEP 207 – Rich Comparisons,207,Final
PEP 206 – Python Advanced Library,206,Withdrawn
PEP 205 – Weak References,205,Final
PEP 204 – Range Literals,204,Rejected
PEP 203 – Augmented Assignments,203,Final
PEP 201 – Lockstep Iteration,201,Final
PEP 202 – List Comprehensions,202,Final
PEP 200 – Python 2.0 Release Schedule,200,Final
PEP 160 – Python 1.6 Release Schedule,160,Final
PEP 102 – Doing Python Micro Releases,102,Superseded
PEP 103 – Collecting information about git,103,Withdrawn
PEP 101 – Doing Python Releases 101,101,Active
PEP 100 – Python Unicode Integration,100,Final
PEP 42 – Feature Requests,42,Withdrawn
PEP 20 – The Zen of Python,20,Active
PEP 13 – Python Language Governance,13,Active
PEP 7 – Style Guide for C Code,7,Active
PEP 12 – Sample reStructuredText PEP Template,12,Active
PEP 8 – Style Guide for Python Code,8,Active
PEP 11 – CPython platform support,11,Active
PEP 10 – Voting Guidelines,10,Active
PEP 9 – Sample Plaintext PEP Template,9,Withdrawn
PEP 6 – Bug Fix Releases,6,Active
PEP 5 – Guidelines for Language Evolution,5,Active
PEP 4 – Deprecation of Standard Modules,4,Active
PEP 2 – Procedure for Adding New Modules,2,Active
PEP 3 – Guidelines for Handling Bug Reports,3,Withdrawn
